“Towards making a cyborg: a closed-loop reservoir-neuro system,” | in ECAL 2017: The 14th European Conference on Artificial Life (Lyon: MIT Press),
Is plasticity of synapses the mechanism of long-term memory storage? | NPJ Sci. Learn.
Optogenetics in developmental biology: using light to control ion flux-dependent signals in Xenopus embryos. | Int. J. Dev. Biol. 58,
H+ pump-dependent changes in membrane voltage are an early mechanism necessary and sufficient to induce Xenopus tail regeneration. | Development 134,
Light-activation of the Archaerhodopsin H(+)-pump reverses age-dependent loss of vertebrate regeneration: sparking system-level controls in vivo. | Biol. Open 2,
Bioelectric signalling via potassium channels: a mechanism for craniofacial dysmorphogenesis in KCNJ2-associated Andersen-Tawil Syndrome. | J. Physiol. 594,
Retention of learning through metamorphosis in grain beetle (Tenebrio-Molitor). | Am. Zool. 12,
Personal identity and memory transfer. | Southern J. Phil. 14,
A bio-hybrid odor-guided autonomous palm-sized air vehicle. | Bioinspir. Biomim.
Insect-machine hybrid robot. | Curr. Opin. Insect. Sci. 42,
Tunneling nanotubes and gap junctions-their role in long-range intercellular communication during development, health, and disease conditions. | Front. Mol. Neurosci.
Metamorphosis of the mushroom bodies; large-scale rearrangements of the neural substrates for associative learning and memory in Drosophila. | Learn. Mem. 5,
Teleonomy: the feedback circuit involving information and thermodynamic processes. | J. Mod. Phys. 2,
Brain plasticity as a basis of the development of rehabilitation procedures for hemiplegia. | Scand. J. Rehabil. Med. 13,
Vision substitution by tactile image projection. | Nature 221,
The hierarchically mechanistic mind: a free-energy formulation of the human psyche. | Phys. Life Rev.
MEART: the semi-living artist. | Front. Neurorobot.
“Embodying cultured networks with a robotic drawing arm,” | in Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, Vol. 2007, (Lyon),
Cellular decision making and biological noise: from microbes to mammals. | Cell 144,
On having no head: cognition throughout biological systems. | Front. Psychol.
Ion channels in plants: from bioelectricity, via signaling, to behavioral actions. | Plant Signal. Behav.
Sentience and consciousness in single cells: how the first minds emerged in unicellular species. | BioEssays
Biomolecular basis of cellular consciousness via subcellular nanobrains. | Int. J. Mol. Sci.
Understanding of anesthesia - Why consciousness is essential for life and not based on genes. | Commun. Integr. Biol.
One or two: an examination of the recent case of the conjoined twins from Malta. | J. Med. Philos. 28,
Ion channels in development and cancer. | Annu. Rev. Cell Dev. Biol. 31,
“Autonomy and scales,” | in Front Collection, eds B. Falkenburg and M. Morrison (Berlin: Springer),
Minimal model explanations. | Philos. Sci. 81,
What is cognition? | Curr. Biol. 29,
RNA from trained aplysia can induce an epigenetic engram for long-term sensitization in untrained aplysia. | eNeuro
Brainless but multi-headed: decision making by the acellular slime mould Physarum polycephalum. | J. Mol. Biol. 427,
The cognitive domain of a glider in the game of life. | Artif. Life 20,
Characterizing autopoiesis in the game of life. | Artif. Life 21,
Information processing and dynamics in minimally cognitive agents. | Cogn. Sci. 39,
The criticality hypothesis: how local cortical networks might optimize information processing. | Philos. Trans. A Math. Phys. Eng. Sci. 366,
Embedded brain computer interface: state-of-the-art in research. | Sensors
Collective animal navigation and migratory culture: from theoretical models to empirical evidence. | Philos. Transac. R. Soc. B Biol. Sci.
Unlimited associative learning and the origins of consciousness: a primer and some predictions. | Biol. Philos.
Negative and positive memory transfer through RNA in instrumentally conditioned goldfish. | Stud. Psychol. 13,
Gene regulatory networks exhibit several kinds of memory: quantification of memory in biological and random transcriptional networks. | iScience
Ectopic eyes outside the head in Xenopus tadpoles provide sensory data for light-mediated learning. | J. Exp. Biol. 216(Pt. 6),
Retention of memory through metamorphosis: can a moth remember what it learned as a caterpillar? | PLoS One
Serotonergic stimulation induces nerve growth and promotes visual learning via posterior eye grafts in a vertebrate model of induced sensory plasticity. | NPJ Regen. Med.
Transmembrane potential of GlyCl-expressing instructor cells induces a neoplastic-like conversion of melanocytes via a serotonergic pathway. | Dis. Models Mech. 4,
A cellular platform for the development of synthetic living machines. | Sci. Robot
The stability of memories during brain remodeling: a perspective. | Commun. Integr. Biol.
Living things are not (20th Century) machines: updating mechanism metaphors in light of the modern science of machine behavior. | Front. Ecol. Evol.
Resilient machines through continuous self-modeling. | Science 314,
Optogenetically induced cellular habituation in non-neuronal cells. | PLoS One
Superintelligence: Paths, Dangers, Strategies. | Oxford: Oxford University Press.
Memory inception and preservation in slime moulds: the quest for a common mechanism. | Philos. Trans. R. Soc. Lond. B Biol. Sci.
An expanded view of complex traits: from polygenic to omnigenic. | Cell 169,
A robust layer control system for a mobile robot. | IEEE J. Robot. Automation 2,
Do sperm cells remember? | Behav. Brain Res. 136,
Das Geweih. | Hamburg: Paul Parey Verlag.
Trophic responses to trauma in growing antlers. | J. Exp. Zool. 159,
Evolution of the first nervous systems – what can we surmise? | J. Exp. Biol. 218,
Cross-limb communication during Xenopus hindlimb regenerative response: non-local bioelectric injury signals. | Development
The pre-nervous serotonergic system of developing sea urchin embryos and larvae: pharmacologic and immunocytochemical evidence. | Neurochem. Res. 30,
Predicting green: really radical (plant) predictive processing. | J. R. Soc. Interface
Collective gradient sensing and chemotaxis: modeling and recent developments. | J. Phys. Condens. Matter
Convergent? Minds? Some questions about mental evolution. | Interface Focus
Rebuilding a planarian: from early signaling to final shape. | Int. J. Dev. Biol. 62,
Bioelectrical coupling of single-cell states in multicellular systems. | J. Phys. Chem. Lett.
Bioelectrical model of head-tail patterning based on cell ion channels and intercellular gap junctions. | Bioelectrochemistry
From non-excitable single-cell to multicellular bioelectrical states supported by ion channels and gap junction proteins: Electrical potentials as distributed controllers. | Prog. Biophys. Mol. Biol. 149,
Synchronization of bioelectric oscillations in networks of nonexcitable cells: from single-cell to multicellular states. | J. Phys. Chem. B 123,
Bioelectrical coupling in multicellular domains regulated by gap junctions: a conceptual approach. | Bioelectrochemistry 123,
The Conscious Mind. | New York, NY: Oxford University Press.
Panpsychism and panprotopsychism. | Amherst Lecture Philosophy
Brain-computer interface-based humanoid control: a review. | Sensors
Shaping embodied neural networks for adaptive goal-directed behavior. | PLoS Comput. Biol.
Reinstatement of long-term memory following erasure of its behavioral and synaptic expression in Aplysia. | Elife
Use of genetically encoded, light-gated ion translocators to control tumorigenesis. | Oncotarget 7,
Endogenous voltage potentials and the microenvironment: bioelectric signals that reveal, induce and normalize cancer. | J. Clin. Exp. Oncol. Suppl. 1,
Transmembrane voltage potential is an essential cellular parameter for the detection and control of tumor development in a Xenopus model. | Dis. Models Mech. 6,
Transmembrane voltage potential of somatic cells controls oncogene-mediated tumorigenesis at long-range. | Oncotarget 5,
The birth of the holobiont: multi-species birthing through mutual scaffolding and niche construction. | Biosemiotics 8,
Pax6 induces ectopic eyes in a vertebrate. | Dev. Suppl. 126,
The extended mind. | Analysis 58,
The smartest materials: the future of nanoelectronics in medicine. | ACS Nano 6,
From membrane excitability to metazoan psychology. | Trends Neurosci. 37,
Retention of a position discrimination after regeneration in planarians. | Psychanom. Sci. 5,
Regeneration and Retention of Acquired Information. | Washington, DC: NASA.
Collective minds. | Nature
Collective cognition in animal groups. | Trends Cogn. Sci. 13,
Collective memory and spatial sorting in animal groups. | J. Theor. Biol. 218,
Self Comes to Mind : Constructing the Conscious Brain, | 1st Edn. New York, NY: Pantheon Books,
The nature of feelings: evolutionary and neurobiological origins. | Nat. Rev. Neurosci. 14,
Quantifying collectivity. | Curr. Opin. Neurobiol. 37,
Brainport: an alternative input to the brain. | J. Integr. Neurosci. 4,
“Adaptive flight control with living neuronal networks on microelectrode arrays,” | in Proceedings. 2005 IEEE International Joint Conference on Neural Networks, (Montreal, QC),
The neurally controlled animat: biological brains acting with simulated bodies. | Auton. Robots 11,
The Intentional Stance. | Cambridge, MA: MIT Press,
Consciousness Explained. | Boston, MA: Little, Brown and Co.
From Bacteria to Bach and Back : The Evolution of Minds, | First Edn. New York, NY: W.W. Norton & Company,
A complex hierarchy of avoidance behaviors in a single-cell eukaryote. | Curr. Biol. 29,
“Homeostatic adaptation to inversion of the visual field and other sensorimotor disruptions,” | in Proceedings of the SAB2000 Sixth International Conference on Simulation of Adaptive Behavior : From Animals to Animats, eds J.-A. Meyer, Berthoz, A., Floreano, D., Roitblat, H. L., and Wilson, S. W., Paris.
“Minimal cognition in unicellular organisms,” | in Proceedings of the SAB2000 Sixth International Conference on Simulation of Adaptive Behavior : From Animals to Animats, eds J.-A. Meyer, A. Berthoz, D. Floreano, H. L. Roitblat, and S. W. Wilson (Paris).
Editorial: epistemic feelings: phenomenology, implementation, and role in cognition. | Front. Psychol.
Cellular cyborgs: on the precipice of a drug delivery revolution. | Cell Chem. Biol. 25,
Nothing in biology makes sense except in the light of evolution. | Am. Biol. Teach. 35,
Toward a living soft microrobot through optogenetic locomotion control of Caenorhabditis elegans. | Sci. Robot.
Dissociative identity disorder: an empirical overview. | Aust. N. Z. J. Psychiatry 48,
Development and the Baldwin effect. | Artif. Life 10,
Cognitive Ecology: The Evolutionary Ecology of Information Processing and Decision Making. | Chicago, IL: Chicago University Press.
