“Towards making a cyborg: a closed-loop reservoir-neuro system,” in ECAL 2017: The 14th European Conference on Artificial Life (Lyon: MIT Press), | 430–437.
Is plasticity of synapses the mechanism of long-term memory storage? NPJ Sci. Learn. | 4:9.
Optogenetics in developmental biology: using light to control ion flux-dependent signals in Xenopus embryos. Int. J. Dev. Biol. 58, | 851–861.
H+ pump-dependent changes in membrane voltage are an early mechanism necessary and sufficient to induce Xenopus tail regeneration. Development 134, | 1323–1335.
Light-activation of the Archaerhodopsin H(+)-pump reverses age-dependent loss of vertebrate regeneration: sparking system-level controls in vivo. Biol. Open 2, | 306–313.
Bioelectric signalling via potassium channels: a mechanism for craniofacial dysmorphogenesis in KCNJ2-associated Andersen-Tawil Syndrome. J. Physiol. 594, | 3245–3270.
Retention of learning through metamorphosis in grain beetle (Tenebrio-Molitor). Am. Zool. 12, | 471–472.
Personal identity and memory transfer. Southern J. Phil. 14, | 385–391.
A bio-hybrid odor-guided autonomous palm-sized air vehicle. Bioinspir. Biomim. | 16:026002.
Insect-machine hybrid robot. Curr. Opin. Insect. Sci. 42, | 61–69.
Tunneling nanotubes and gap junctions-their role in long-range intercellular communication during development, health, and disease conditions. Front. Mol. Neurosci. | 10:333.
Metamorphosis of the mushroom bodies; large-scale rearrangements of the neural substrates for associative learning and memory in Drosophila. Learn. Mem. 5, | 102–114.
Teleonomy: the feedback circuit involving information and thermodynamic processes. J. Mod. Phys. 2, | 136–145.
Brain plasticity as a basis of the development of rehabilitation procedures for hemiplegia. Scand. J. Rehabil. Med. 13, | 73–83.
Vision substitution by tactile image projection. Nature 221, | 963–964.
The hierarchically mechanistic mind: a free-energy formulation of the human psyche. Phys. Life Rev. | 31:104–121.
MEART: the semi-living artist. Front. Neurorobot. | 1:5.
“Embodying cultured networks with a robotic drawing arm,” in Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, Vol. 2007, (Lyon), | 2996–2999.
Cellular decision making and biological noise: from microbes to mammals. Cell 144, | 910–925.
On having no head: cognition throughout biological systems. Front. Psychol. | 7:902.
